allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,99317,{},False,,ɳ Kungardutji (ER 2759),99316,99316
,,,,,99347,{},False,,ɳ Wangkumara (ER 2760),99346,99346
,,,,,99375,{},False,,ɳ Arabana (ER 2761),99374,99374
,,,,,99399,{},False,,ɳ Wangkangurru (ER 2762),99398,99398
,,,,,99424,{},False,,ɳ Pitta Pitta (ER 2763),99423,99423
,,,,,99450,{},False,,ɳ Wangkayutyuru (ER 2764),99449,99449
,,,,,99476,{},False,,ɳ Kungkari (ER 2765),99475,99475
,,,,,99501,{},False,,ɳ Pirriya (ER 2766),99500,99500
,,,,,99522,{},False,,ɳ Garlali (ER 2767),99521,99521
,,,,,99545,{},False,,ɳ Badimaya (ER 2768),99544,99544
,,,,,99570,{},False,,ɳ Malkana (ER 2769),99569,99569
,,,,,99598,{},False,,ɳ Nhanda (ER 2770),99597,99597
,,,,,99629,{},False,,ɳ Watjarri (ER 2771),99628,99628
,,,,,99655,{},False,,ɳ Yingkarta (ER 2772),99654,99654
,,,,,99678,{},False,,ɳ Kolakngat (ER 2773),99677,99677
,,,,,99701,{},False,,ɳ Daungwurrung (ER 2774),99700,99700
,,,,,99724,{},False,,ɳ Boonwurrung (ER 2775),99723,99723
,,,,,99747,{},False,,ɳ Wathawurrung (ER 2776),99746,99746
,,,,,99770,{},False,,ɳ Woiwurrung (ER 2777),99769,99769
,,,,,99793,{},False,,ɳ Yari-Yari (ER 2778),99792,99792
,,,,,99815,{},False,,ɳ Ladji-Ladji (ER 2779),99814,99814
,,,,,99837,{},False,,ɳ Madhi-Madhi (ER 2780),99836,99836
,,,,,99856,{},False,,ɳ Wathi Wathi (ER 2781),99855,99855
,,,,,99877,{},False,,ɳ East Djadjawurung (ER 2782),99876,99876
,,,,,99898,{},False,,ɳ Jardwadjali (ER 2783),99897,99897
,,,,,99919,{},False,,ɳ Nari Nari (ER 2784),99918,99918
,,,,,99942,{},False,,ɳ Djabwurung (ER 2785),99941,99941
,,,,,99962,{},False,,ɳ Wemba Wemba (ER 2786),99961,99961
,,,,,99983,{},False,,ɳ Wotjobaluk (ER 2787),99982,99982
,,,,,100006,{},False,,ɳ Bidhawal (ER 2788),100005,100005
,,,,,100028,{},False,,ɳ Muk-Thang (ER 2789),100027,100027
,,,,,100050,{},False,,ɳ Thangguai (ER 2790),100049,100049
,,,,,100072,{},False,,ɳ Nulit (ER 2791),100071,100071
,,,,,100096,{},False,,ɳ Keramin (ER 2792),100095,100095
,,,,,100119,{},False,,ɳ Ngayawang (ER 2793),100118,100118
,,,,,100142,{},False,,ɳ Ngintait (ER 2794),100141,100141
,,,,,100166,{},False,,ɳ Yaraldi (ER 2795),100165,100165
,,,,,100190,{},False,,ɳ Yitha Yitha (ER 2796),100189,100189
,,,,,100305,{},False,,ɳ Gangulu (ER 2802),100304,100304
,,,,,100567,{},False,,ɳ Gunya (ER 2816),100566,100566
,,,,,100598,{},False,,ɳ Margany (ER 2817),100597,100597
,,,,,100713,{},False,,ɳ Yandjibara (ER 2823),100712,100712
,,,,,100733,{},False,,ɳ Yiningay (ER 2824),100732,100732
,,,,,100754,{},False,,ɳ Karajarri (ER 2825),100753,100753
,,,,,100776,{},False,,ɳ Mangala (ER 2826),100775,100775
,,,,,100799,{},False,,ɳ Nyangumarta (ER 2827),100798,100798
,,,,,100842,{},False,,ɳ Mayi-Kulan (ER 2829),100841,100841
,,,,,100863,{},False,,ɳ Mayi-Kutuna (ER 2830),100862,100862
,,,,,100885,{},False,,ɳ Mayi-Thakurti (ER 2831),100884,100884
,,,,,100906,{},False,,ɳ Mayi-Yapi (ER 2832),100905,100905
,,,,,100927,{},False,,ɳ Ngawun (ER 2833),100926,100926
,,,,,100949,{},False,,ɳ Wunumara (ER 2834),100948,100948
,,,,,100974,{},False,,ɳ Galaagu (ER 2835),100973,100973
,,,,,101000,{},False,,ɳ Kalaamaya (ER 2836),100999,100999
,,,,,101026,{},False,,ɳ Mirrniny (ER 2837),101025,101025
,,,,,101052,{},False,,ɳ Ngadjunmaya (ER 2838),101051,101051
,,,,,101076,{},False,,ɳ Kariyarra (ER 2839),101075,101075
,,,,,101102,{},False,,ɳ Kurrama (ER 2840),101101,101101
,,,,,101128,{},False,,ɳ Martuthunira (ER 2841),101127,101127
,,,,,101152,{},False,,ɳ Ngarla (ER 2842),101151,101151
,,,,,101175,{},False,,ɳ Ngarluma (ER 2843),101174,101174
,,,,,101200,{},False,,ɳ Nhuwala (ER 2844),101199,101199
,,,,,101224,{},False,,ɳ Nyamal (ER 2845),101223,101223
,,,,,101248,{},False,,ɳ Nyiyaparli (ER 2846),101247,101247
,,,,,101274,{},False,,ɳ Palyku (ER 2847),101273,101273
,,,,,101300,{},False,,ɳ Panyjima (ER 2848),101299,101299
,,,,,101324,{},False,,ɳ Yindjibarndi (ER 2849),101323,101323
,,,,,101350,{},False,,ɳ Yinhawangka (ER 2850),101349,101349
,,,,,101374,{},False,,ɳ Bilinarra (ER 2851),101373,101373
,,,,,101396,{},False,,ɳ Wanyjirra (ER 2852),101395,101395
,,,,,101418,{},False,,ɳ Gurindji (ER 2853),101417,101417
,,,,,101441,{},False,,ɳ Jaru (ER 2854),101440,101440
,,,,,101463,{},False,,ɳ Malngin (ER 2855),101462,101462
,,,,,101485,{},False,,ɳ Mudburra (ER 2856),101484,101484
,,,,,101508,{},False,,ɳ Ngardi (ER 2857),101507,101507
,,,,,101532,{},False,,ɳ Ngarinyman (ER 2858),101531,101531
,,,,,101555,{},False,,ɳ Walmajarri (ER 2859),101554,101554
,,,,,101579,{},False,,ɳ Warlmanpa (ER 2860),101578,101578
,,,,,101606,{},False,,ɳ Warlpiri (ER 2861),101605,101605
,,,,,101668,{},False,,ɳ Balardung (ER 2864),101667,101667
,,,,,101690,{},False,,ɳ Bibbulman (ER 2865),101689,101689
,,,,,101712,{},False,,ɳ Goreng (ER 2866),101711,101711
,,,,,101734,{},False,,ɳ Kaniyang (ER 2867),101733,101733
,,,,,101756,{},False,,ɳ Minang (ER 2868),101755,101755
,,,,,101778,{},False,,ɳ Pinjarup (ER 2869),101777,101777
,,,,,101800,{},False,,ɳ Wardandi (ER 2870),101799,101799
,,,,,101822,{},False,,ɳ Wajuk (ER 2871),101821,101821
,,,,,101844,{},False,,ɳ Wiilman (ER 2872),101843,101843
,,,,,101866,{},False,,ɳ Wudjari (ER 2873),101865,101865
,,,,,101888,{},False,,ɳ Yuwat (ER 2874),101887,101887
,,,,,101913,{},False,,ɳ Bandjigali (ER 2875),101912,101912
,,,,,101939,{},False,,ɳ Southern Paakintyi (ER 2876),101938,101938
,,,,,101964,{},False,,ɳ Pallanganmiddang (ER 2877),101963,101963
,,,,,102203,{},False,,ɳ Guugu Yimidhirr (ER 2886),102202,102202
,,,,,102314,{},False,,ɳ Malthanmungu (ER 2892),102313,102313
,,,,,103162,{},False,,ɳ Yir Yoront (ER 2925),103161,103161
,,,,,103323,{},False,,ɳ Adnyamathanha (ER 2931),103322,103322
,,,,,103350,{},False,,ɳ Kaurna (ER 2932),103349,103349
,,,,,103376,{},False,,ɳ Nukunu (ER 2933),103375,103375
,,,,,103402,{},False,,ɳ Wirangu (ER 2934),103401,103401
,,,,,103425,{},False,,ɳ Parnkalla (ER 2935),103424,103424
,,,,,103450,{},False,,ɳ Narrungga (ER 2936),103449,103449
,,,,,103475,{},False,,ɳ Kukata (ER 2937),103474,103474
,,,,,103682,{},False,,ɳ Bularnu (ER 2946),103681,103681
,,,,,103712,{},False,,ɳ Eastern Wakaya (ER 2947),103711,103711
,,,,,103738,{},False,,ɳ Warluwarra (ER 2948),103737,103737
,,,,,103771,{},False,,ɳ Western Wakaya (ER 2949),103770,103770
,,,,,103796,{},False,,ɳ Yanyuwa (ER 2950),103795,103795
,,,,,103820,{},False,,ɳ Warumungu (ER 2951),103819,103819
,,,,,103848,{},False,,ɳ Kartujarra (ER 2952),103847,103847
,,,,,103871,{},False,,ɳ Manjiljarra (ER 2953),103870,103870
,,,,,103894,{},False,,ɳ Putijarra (ER 2954),103893,103893
,,,,,103917,{},False,,ɳ Wangkajunga (ER 2955),103916,103916
,,,,,103940,{},False,,ɳ Yulparija (ER 2956),103939,103939
,,,,,103963,{},False,,ɳ Warnman (ER 2957),103962,103962
,,,,,103986,{},False,,ɳ Antakirinya (ER 2958),103985,103985
,,,,,104009,{},False,,ɳ Kukatja (ER 2959),104008,104008
,,,,,104032,{},False,,ɳ Ngalia (ER 2960),104031,104031
,,,,,104055,{},False,,ɳ Ngarlawangka (ER 2961),104054,104054
,,,,,104079,{},False,,ɳ Ngaanyatjarra (ER 2962),104078,104078
,,,,,104101,{},False,,ɳ Pintupi (ER 2963),104100,104100
,,,,,104125,{},False,,ɳ Pitjantjatjara (ER 2964),104124,104124
,,,,,104148,{},False,,ɳ Yankunytjatjara (ER 2965),104147,104147
,,,,,104220,{},False,,ɳ Malyangapa (ER 2968),104219,104219
,,,,,104247,{},False,,ɳ Wadikali (ER 2969),104246,104246
,,,,,104274,{},False,,ɳ Yardliyawarra (ER 2970),104273,104273
,,,,,104299,{},False,,ɳ Dhangu (ER 2971),104298,104298
,,,,,104326,{},False,,ɳ Gupapuyngu (ER 2972),104325,104325
,,,,,104356,{},False,,ɳ Dhay'yi (ER 2973),104355,104355
,,,,,104383,{},False,,ɳ Djambarrpuyngu (ER 2974),104382,104382
,,,,,104414,{},False,,ɳ Gumatj (ER 2975),104413,104413
,,,,,104442,{},False,,ɳ Djinang (ER 2976),104441,104441
,,,,,104467,{},False,,ɳ Djinba (ER 2977),104466,104466
,,,,,104495,{},False,,ɳ Nhangu (ER 2978),104494,104494
,,,,,104526,{},False,,ɳ Ritharrngu (ER 2979),104525,104525
,,,,,104698,{},False,,ɳ West Djadjawurung (ER 2988),104697,104697
,,,,,104775,{},False,,ɳ Djapu (ER 2992),104774,104774
,,,,,104801,{},False,,ɳ Dharawal (ER 2993),104800,104800
,,,,,104826,{},False,,ɳ Dharumba (ER 2994),104825,104825
,,,,,104851,{},False,,ɳ Dhurga (ER 2995),104850,104850
,,,,,104876,{},False,,ɳ Djirringany (ER 2996),104875,104875
,,,,,104901,{},False,,ɳ Gundungurra (ER 2997),104900,104900
