allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,97566,{},False,,ɭ Ngumbarl (ER 2692),97565,97565
,,,,,97586,{},False,,ɭ Nyikina (ER 2693),97585,97585
,,,,,97606,{},False,,ɭ Warrwa (ER 2694),97605,97605
,,,,,97629,{},False,,ɭ Jukun (ER 2695),97628,97628
,,,,,97657,{},False,,ɭ Yawuru (ER 2696),97656,97656
,,,,,97684,{},False,,ɭ Bardi (ER 2697),97683,97683
,,,,,97708,{},False,,ɭ Nimanburu (ER 2698),97707,97707
,,,,,97729,{},False,,ɭ Jabirr-Jabirr (ER 2699),97728,97728
,,,,,97749,{},False,,ɭ Jawi (ER 2700),97748,97748
,,,,,97769,{},False,,ɭ Nyulnyul (ER 2701),97768,97768
,,,,,97795,{},False,,ɭ Alyawarr (ER 2702),97794,97794
,,,,,97838,{},False,,ɭ Eastern Anmatyerre (ER 2703),97837,97837
,,,,,97882,{},False,,ɭ Western Anmatyerre (ER 2704),97881,97881
,,,,,97926,{},False,,ɭ Antekerrepenhe (ER 2705),97925,97925
,,,,,97970,{},False,,ɭ Central Arrernte (ER 2706),97969,97969
,,,,,98014,{},False,,ɭ Ayerrerenge (ER 2707),98013,98013
,,,,,98057,{},False,,ɭ Eastern Arrernte (ER 2708),98056,98056
,,,,,98101,{},False,,ɭ Lower Southern Aranda (ER 2709),98100,98100
,,,,,98145,{},False,,ɭ Western Arrernte (ER 2710),98144,98144
,,,,,98189,{},False,,ɭ Kaytetye (ER 2711),98188,98188
,,,,,98327,{},False,,ɭ Buwandik (ER 2717),98326,98326
,,,,,98352,{},False,,ɭ Warrnambool (ER 2718),98351,98351
,,,,,98398,{},False,,ɭ Muruwari (ER 2720),98397,98397
,,,,,98738,{},False,,ɭ Guwa (ER 2737),98737,98737
,,,,,98761,{},False,,ɭ Yanda (ER 2738),98760,98760
,,,,,98787,{},False,,ɭ Kalkatungu (ER 2739),98786,98786
,,,,,98812,{},False,,ɭ Yalarnnga (ER 2740),98811,98811
,,,,,98837,{},False,,ɭ Payungu (ER 2741),98836,98836
,,,,,98863,{},False,,ɭ Purduna (ER 2742),98862,98862
,,,,,98889,{},False,,ɭ Thalanyji (ER 2743),98888,98888
,,,,,98915,{},False,,ɭ Jiwarli (ER 2744),98914,98914
,,,,,98941,{},False,,ɭ Tharrkari (ER 2745),98940,98940
,,,,,98972,{},False,,ɭ Thiin (ER 2746),98971,98971
,,,,,98998,{},False,,ɭ Warriyangga (ER 2747),98997,98997
,,,,,99023,{},False,,ɭ Mithaka (ER 2748),99022,99022
,,,,,99051,{},False,,ɭ Diyari (ER 2749),99050,99050
,,,,,99076,{},False,,ɭ Thirarri (ER 2750),99075,99075
,,,,,99101,{},False,,ɭ Karangura (ER 2751),99100,99100
,,,,,99126,{},False,,ɭ Ngamini (ER 2752),99125,99125
,,,,,99151,{},False,,ɭ Pirlatapa (ER 2753),99150,99150
,,,,,99178,{},False,,ɭ Yandruwandha (ER 2754),99177,99177
,,,,,99207,{},False,,ɭ Nhirrpi (ER 2755),99206,99206
,,,,,99237,{},False,,ɭ Yawarrawarrka (ER 2756),99236,99236
,,,,,99265,{},False,,ɭ Yarluyandi (ER 2757),99264,99264
,,,,,99288,{},False,,ɭ Punthamara (ER 2758),99287,99287
,,,,,99312,{},False,,ɭ Kungardutji (ER 2759),99311,99311
,,,,,99342,{},False,,ɭ Wangkumara (ER 2760),99341,99341
,,,,,99370,{},False,,ɭ Arabana (ER 2761),99369,99369
,,,,,99394,{},False,,ɭ Wangkangurru (ER 2762),99393,99393
,,,,,99419,{},False,,ɭ Pitta Pitta (ER 2763),99418,99418
,,,,,99445,{},False,,ɭ Wangkayutyuru (ER 2764),99444,99444
,,,,,99471,{},False,,ɭ Kungkari (ER 2765),99470,99470
,,,,,99496,{},False,,ɭ Pirriya (ER 2766),99495,99495
,,,,,99518,{},False,,ɭ Garlali (ER 2767),99517,99517
,,,,,99540,{},False,,ɭ Badimaya (ER 2768),99539,99539
,,,,,99565,{},False,,ɭ Malkana (ER 2769),99564,99564
,,,,,99593,{},False,,ɭ Nhanda (ER 2770),99592,99592
,,,,,99624,{},False,,ɭ Watjarri (ER 2771),99623,99623
,,,,,99650,{},False,,ɭ Yingkarta (ER 2772),99649,99649
,,,,,99674,{},False,,ɭ Kolakngat (ER 2773),99673,99673
,,,,,99696,{},False,,ɭ Daungwurrung (ER 2774),99695,99695
,,,,,99719,{},False,,ɭ Boonwurrung (ER 2775),99718,99718
,,,,,99742,{},False,,ɭ Wathawurrung (ER 2776),99741,99741
,,,,,99765,{},False,,ɭ Woiwurrung (ER 2777),99764,99764
,,,,,99788,{},False,,ɭ Yari-Yari (ER 2778),99787,99787
,,,,,99811,{},False,,ɭ Ladji-Ladji (ER 2779),99810,99810
,,,,,99833,{},False,,ɭ Madhi-Madhi (ER 2780),99832,99832
,,,,,99852,{},False,,ɭ Wathi Wathi (ER 2781),99851,99851
,,,,,99873,{},False,,ɭ East Djadjawurung (ER 2782),99872,99872
,,,,,99894,{},False,,ɭ Jardwadjali (ER 2783),99893,99893
,,,,,99915,{},False,,ɭ Nari Nari (ER 2784),99914,99914
,,,,,99938,{},False,,ɭ Djabwurung (ER 2785),99937,99937
,,,,,100091,{},False,,ɭ Keramin (ER 2792),100090,100090
,,,,,100114,{},False,,ɭ Ngayawang (ER 2793),100113,100113
,,,,,100137,{},False,,ɭ Ngintait (ER 2794),100136,100136
,,,,,100161,{},False,,ɭ Yaraldi (ER 2795),100160,100160
,,,,,100185,{},False,,ɭ Yitha Yitha (ER 2796),100184,100184
,,,,,100301,{},False,,ɭ Gangulu (ER 2802),100300,100300
,,,,,100562,{},False,,ɭ Gunya (ER 2816),100561,100561
,,,,,100593,{},False,,ɭ Margany (ER 2817),100592,100592
,,,,,100709,{},False,,ɭ Yandjibara (ER 2823),100708,100708
,,,,,100750,{},False,,ɭ Karajarri (ER 2825),100749,100749
,,,,,100772,{},False,,ɭ Mangala (ER 2826),100771,100771
,,,,,100795,{},False,,ɭ Nyangumarta (ER 2827),100794,100794
,,,,,100838,{},False,,ɭ Mayi-Kulan (ER 2829),100837,100837
,,,,,100859,{},False,,ɭ Mayi-Kutuna (ER 2830),100858,100858
,,,,,100880,{},False,,ɭ Mayi-Thakurti (ER 2831),100879,100879
,,,,,100902,{},False,,ɭ Mayi-Yapi (ER 2832),100901,100901
,,,,,100923,{},False,,ɭ Ngawun (ER 2833),100922,100922
,,,,,100944,{},False,,ɭ Wunumara (ER 2834),100943,100943
,,,,,100969,{},False,,ɭ Galaagu (ER 2835),100968,100968
,,,,,100995,{},False,,ɭ Kalaamaya (ER 2836),100994,100994
,,,,,101021,{},False,,ɭ Mirrniny (ER 2837),101020,101020
,,,,,101047,{},False,,ɭ Ngadjunmaya (ER 2838),101046,101046
,,,,,101071,{},False,,ɭ Kariyarra (ER 2839),101070,101070
,,,,,101097,{},False,,ɭ Kurrama (ER 2840),101096,101096
,,,,,101123,{},False,,ɭ Martuthunira (ER 2841),101122,101122
,,,,,101148,{},False,,ɭ Ngarla (ER 2842),101147,101147
,,,,,101170,{},False,,ɭ Ngarluma (ER 2843),101169,101169
,,,,,101195,{},False,,ɭ Nhuwala (ER 2844),101194,101194
,,,,,101220,{},False,,ɭ Nyamal (ER 2845),101219,101219
,,,,,101243,{},False,,ɭ Nyiyaparli (ER 2846),101242,101242
,,,,,101269,{},False,,ɭ Palyku (ER 2847),101268,101268
,,,,,101295,{},False,,ɭ Panyjima (ER 2848),101294,101294
,,,,,101320,{},False,,ɭ Yindjibarndi (ER 2849),101319,101319
,,,,,101345,{},False,,ɭ Yinhawangka (ER 2850),101344,101344
,,,,,101370,{},False,,ɭ Bilinarra (ER 2851),101369,101369
,,,,,101392,{},False,,ɭ Wanyjirra (ER 2852),101391,101391
,,,,,101414,{},False,,ɭ Gurindji (ER 2853),101413,101413
,,,,,101437,{},False,,ɭ Jaru (ER 2854),101436,101436
,,,,,101459,{},False,,ɭ Malngin (ER 2855),101458,101458
,,,,,101481,{},False,,ɭ Mudburra (ER 2856),101480,101480
,,,,,101504,{},False,,ɭ Ngardi (ER 2857),101503,101503
,,,,,101528,{},False,,ɭ Ngarinyman (ER 2858),101527,101527
,,,,,101551,{},False,,ɭ Walmajarri (ER 2859),101550,101550
,,,,,101575,{},False,,ɭ Warlmanpa (ER 2860),101574,101574
,,,,,101602,{},False,,ɭ Warlpiri (ER 2861),101601,101601
,,,,,101664,{},False,,ɭ Balardung (ER 2864),101663,101663
,,,,,101686,{},False,,ɭ Bibbulman (ER 2865),101685,101685
,,,,,101708,{},False,,ɭ Goreng (ER 2866),101707,101707
,,,,,101730,{},False,,ɭ Kaniyang (ER 2867),101729,101729
,,,,,101752,{},False,,ɭ Minang (ER 2868),101751,101751
,,,,,101774,{},False,,ɭ Pinjarup (ER 2869),101773,101773
,,,,,101796,{},False,,ɭ Wardandi (ER 2870),101795,101795
,,,,,101818,{},False,,ɭ Wajuk (ER 2871),101817,101817
,,,,,101840,{},False,,ɭ Wiilman (ER 2872),101839,101839
,,,,,101862,{},False,,ɭ Wudjari (ER 2873),101861,101861
,,,,,101884,{},False,,ɭ Yuwat (ER 2874),101883,101883
